City Name,Latitude,Longitude,Predicted Temperature,Heat Risk Score,Heat Risk,Tree Plantation,Green Roof,Cooling Infrastructure,Mitigation Priority
123,20.133521050028307,33.88705752676864,20.048980815230006,20.562231854024233,Low,Existing Green Cover Sufficient,Optional,Routine Monitoring,1
134,-64.89110508263246,-42.87929161283225,27.61493067300974,91.87764075206908,Extreme,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Pavements + Water Features,4
145,-37.41396326366073,169.16918321325716,22.241651820576706,41.22999099392883,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
156,-24.0548682071355,123.16281232885513,18.91310938440294,9.855693075982309,Low,Moderate Tree Plantation,Not Required,Routine Monitoring,1
167,-7.907402840933528,121.79833369600964,21.797396550503002,37.04251330296315,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
178,51.33167305074244,-11.27046247381071,22.005659574979408,39.00556659145493,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
189,-54.05871921149525,-30.66497915844053,20.917696419625102,28.750603401298637,Moderate,Moderate Tree Plantation,Recommended,Urban Parks + Shade Structures,2
200,2.562198914450093,-81.57345410494575,20.23846064922347,22.348237853691653,Low,Moderate Tree Plantation,Optional,Routine Monitoring,1
211,16.63462239516764,-159.70482120566624,24.488419209084512,62.40765381513692,High,Existing Green Cover Sufficient,Recommended,Cooling Centers + Reflective Roads,3
223,-81.63892571040041,131.30005545181916,22.358776382101308,42.33398800080065,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
234,19.358073342258905,112.64436328682793,22.19762685456205,40.81501884739399,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
245,-59.30565773628753,179.898362383007,22.78205020759283,46.32369801847,Moderate,Existing Green Cover Sufficient,Recommended,Urban Parks + Shade Structures,2
256,-78.29071326264969,178.78926134660594,24.172207714202315,59.427095857486975,High,Existing Green Cover Sufficient,Optional,Cooling Centers + Reflective Roads,3
267,80.79939670559997,19.95541401694589,23.755014986072815,55.49470527135942,High,Existing Green Cover Sufficient,Recommended,Cooling Centers + Reflective Roads,3
278,83.81376595342067,96.83546946498376,22.841429449503597,46.883397064395844,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
289,55.51152266096301,160.1156627576741,21.16503874191886,31.082011774833333,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
300,-35.16952154879328,125.87306064386814,21.24998723499533,31.8827224103647,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
311,-72.4190194788509,-90.95468337244884,24.401180314210013,61.5853542259596,High,Moderate Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
322,33.161944772188235,-17.80411128836633,21.360100145131263,32.920628735268906,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
334,-10.77255112687176,-133.5026105454618,22.52501841510581,43.90095827982882,Moderate,Moderate Tree Plantation,Recommended,Urban Parks + Shade Structures,2
345,-68.03311772793981,163.45836981314005,23.364521594716713,51.81397827739056,High,Existing Green Cover Sufficient,Optional,Cooling Centers + Reflective Roads,3
356,-0.8681561799713648,38.222868402316806,19.984093633945236,19.950615870235126,Low,High Priority Tree Plantation,Not Required,Routine Monitoring,1
367,-83.81006619926069,-97.68859001875342,24.660022395383344,64.02515745039096,High,Existing Green Cover Sufficient,Recommended,Cooling Centers + Reflective Roads,3
378,73.67767237418076,61.81224638610843,22.38379405805776,42.56980053247882,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
389,-43.41960331199695,42.5261665648425,23.741750425827416,55.3696756907337,High,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
400,29.25401118371676,-51.06142150817743,21.9075278069129,38.08059255685237,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
411,-33.89200630390603,-139.11926680813357,21.40137521169937,33.309680778294535,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
422,3.612243812005943,61.76635041340785,22.868984338779136,47.143124954847664,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
433,8.407850281790331,7.310772325365576,19.85798909702816,18.761975080487815,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
445,-56.72619800540513,98.03462102483012,22.888567569065774,47.327713288327054,Moderate,Existing Green Cover Sufficient,Recommended,Urban Parks + Shade Structures,2
447,84.52523299762055,7.258860400317616,25.99972379067589,76.65296421656035,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
448,49.52390820500062,126.78534011467444,22.418590477589603,42.897785905597544,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
449,79.10980948155404,18.68646195881479,25.498244145720207,71.92609890469377,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
450,71.0689230769768,21.93766975273905,24.63031683610431,63.74515769538981,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
451,17.62199618599533,135.59529695700422,20.595277368585077,25.711534032130682,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
452,75.93736230416104,-34.74616816353708,22.72410284616405,45.77749564434152,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
453,-74.0713496306545,-131.75451775776935,22.586113741840062,44.47683286130425,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
454,-54.72308476455387,-169.63823652719796,20.397385650489355,23.846238985399502,Low,High Priority Tree Plantation,Not Required,Routine Monitoring,1
455,-81.85908799610314,91.84941204250282,24.547729629756283,62.966704163292896,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
457,-31.440540462612415,43.31143848724727,23.925937689223517,57.10579478348691,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
458,-20.03808785589324,73.46871651572047,22.037042079088152,39.301372954810404,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
459,-41.15717428069873,-103.33290185679212,21.046406055510456,29.96379942887264,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
460,59.17275164734727,-130.90626878876287,23.11145249732949,49.42859025620626,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
461,-25.784401195153933,-174.76392035956252,20.18054782245115,21.8023609976003,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
462,-39.43178825627146,-53.78847882962509,24.359884055452834,61.196102428817525,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
463,7.685294968484726,32.37036726766792,23.985735835249642,57.6694423512557,High,Existing Green Cover Sufficient,Not Required,Cooling Centers + Reflective Roads,3
464,-64.63363950454273,-38.79214376409635,23.24362439044412,50.67442095552105,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
465,54.395456535727135,-22.50902807145755,20.922522855820795,28.79609660139726,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
466,-76.58088413764125,145.49713001774944,22.603295823415337,44.63878835880207,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
468,87.63964858809311,-54.62803187161188,22.294492742873956,41.72806090597078,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
469,49.004058473398345,5.036216097531877,21.89174399817095,37.93181695093909,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
470,-54.23117732384897,102.11508458681152,20.420685898978537,24.065863325986886,Low,High Priority Tree Plantation,Not Required,Routine Monitoring,1
471,-89.00601891775156,-37.24459836434275,22.95871987324296,47.988957461441906,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
472,56.783057121870144,43.95121208203446,21.172073845918664,31.148323517286986,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
473,37.234321892571074,130.45093514882825,19.64772175465032,16.780029418481895,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
474,41.22129024737771,161.82742451675114,24.136905798302074,59.09434575807661,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
475,48.82866240347025,-127.05354686554634,24.60796547519212,63.534477414282534,High,Existing Green Cover Sufficient,Recommended,Cooling Centers + Reflective Roads,3
476,-76.67196268786374,153.571545058138,23.344601662342853,51.62621624497339,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
477,-25.47616886203093,-2.8381344913662474,22.042517804804575,39.352986251993265,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
479,-69.14356928547664,-87.03202021237499,21.859429654165538,37.62722721675676,Moderate,Moderate Tree Plantation,Recommended,Urban Parks + Shade Structures,2
480,65.35861665760683,-14.711127754225942,20.33129956791141,23.22332235363385,Low,High Priority Tree Plantation,Not Required,Routine Monitoring,1
481,22.193662828960427,172.81172710277173,21.01168461207686,29.636520768222894,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
482,-30.438355526523143,-2.657486162566954,22.458552106248096,43.274457697187835,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
483,-78.55949694851574,-61.64942029649704,22.23534278688155,41.170523071701055,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
484,-34.0231820911808,48.02430755402128,20.68571401353838,26.563975091805485,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
485,-31.46700203518553,-93.5475772398505,21.87213180073701,37.74695557785551,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
486,41.329112100851546,-152.689201880881,22.738681964792484,45.914916037802186,Moderate,Existing Green Cover Sufficient,Recommended,Urban Parks + Shade Structures,2
487,24.76034484393836,-133.60330011216627,21.781846721164946,36.895943148734865,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
488,69.69829366373878,-133.90349797520193,22.756422031641304,46.082131013447494,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
490,-5.001313470849127,-125.31503033557404,22.830860101825536,46.783772117678616,Moderate,Moderate Tree Plantation,Recommended,Urban Parks + Shade Structures,2
491,-68.4730357311057,-130.02221784621236,22.47049179683296,43.38699927255925,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
492,38.38406170013912,50.71490812915727,25.676333363730592,73.60473881659911,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
493,46.94130875104153,-114.52316961630788,19.471681164523954,15.120699538756913,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
494,11.029895562509324,-55.55977800340925,23.867975241707608,56.55945021036261,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
495,48.77409239182097,142.84382756616424,23.327747102805304,51.46734791676463,High,Moderate Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
496,-1.1167926544096645,-9.373809505365957,22.468554732195834,43.368740817341425,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
497,4.091909288758927,60.32078586756978,19.772513627709973,17.956297252883548,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
498,-13.042616695461064,-117.96484636741326,20.852544877678632,28.136495597045474,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
499,-85.42455718606287,-110.77595322887852,19.718066709499524,17.443089485398293,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
2,-70.57954314120519,-165.28729814406762,26.017797290060603,76.82332207288609,Extreme,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Pavements + Water Features,4
3,-84.34274657638784,-119.18337729402076,20.441764971534884,24.264551224638726,Low,Existing Green Cover Sufficient,Not Required,Routine Monitoring,1
4,24.553874027480475,-79.7074779484949,24.289277406724693,60.53057567809628,High,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
5,-33.4159234062612,-116.27622566037115,20.84433742435415,28.059133481138097,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
6,1.542724409646496,-148.06708784746,22.111037257239587,39.9988394310027,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
7,73.36196530669673,-136.5710864037837,24.01353528645204,57.931475442527336,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
8,-45.12739875320251,-14.11964350821873,23.34160106990255,51.59793315020813,High,Moderate Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
9,-16.131073853586642,-105.7198613739147,21.03686604560791,29.873876852080517,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
10,45.99920493774877,-48.86285002269284,24.279294455949874,60.43647801291241,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
11,-48.81633021150796,1.2302175077484776,22.151819196855843,40.383243339838835,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
13,-76.14361623081726,68.5421383065715,22.65545453076798,45.13042782408644,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
14,-37.84473847552176,-165.84762965720438,25.16280558524888,68.76430976389125,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
15,-60.9801682942792,107.78774360725538,24.289172284478944,60.529584812959605,High,Existing Green Cover Sufficient,Not Required,Cooling Centers + Reflective Roads,3
16,77.34557742166317,46.04414021672679,25.188968317538002,69.01091540973364,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
17,55.461668321595056,-150.56674849840613,20.957326953797487,29.124154350284304,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
18,24.012676171876222,134.48830467843982,21.624079496258123,35.40885502808459,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
19,66.86290623378918,151.51406419145275,24.94947796915166,66.75351846112112,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
20,54.660973841840615,-158.01193445224905,25.041159530642837,67.61769390096117,High,Moderate Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
21,-56.41738940051355,-80.32404666700666,23.52143912017739,53.29305726969855,High,Moderate Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
22,70.660619728196,110.23246072550204,22.485217429602436,43.52580068440813,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
24,7.081603544817128,89.37348853811699,21.893342330803566,37.94688257354997,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
25,55.33922792953126,-113.57243303170416,21.634854703498796,35.51042037345092,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
26,71.29643398622878,-104.6342435987843,19.607457889748595,16.4005087973758,Low,High Priority Tree Plantation,Not Required,Routine Monitoring,1
27,-32.7593745050645,-46.630042995102485,22.78330963090437,46.33556913711688,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
28,-70.19065358501818,-5.571725331232329,26.802597101006118,84.22071704281677,Extreme,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Pavements + Water Features,4
29,-48.9716707424505,42.571717750906544,22.58821157949061,44.49660673671485,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
30,-13.12059804727386,-47.19108975488194,22.66057519320649,45.178694352743875,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
31,57.24265786604877,-13.487502192066756,19.944557131254147,19.57795124664997,Low,High Priority Tree Plantation,Not Required,Routine Monitoring,1
32,64.93150498614182,89.08953772815238,23.700704705789548,54.9827854306819,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
33,-88.74861650438568,-166.79404695938476,17.86750534484462,0.0,Low,Moderate Tree Plantation,Not Required,Routine Monitoring,1
35,1.9345144639618328,-89.12270003615252,21.39497099825379,33.2493157072688,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
36,-14.866019433219776,76.80585091843886,26.249117979524588,79.00371314945909,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
37,-50.02059411526856,142.27446156739177,20.593566104999777,25.695403940785646,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
38,-68.42423387993709,4.203879161639804,23.008106310244404,48.45446595871989,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
39,-29.22926914734697,11.560854695513626,25.655470035982155,73.40808449330568,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
40,79.72374670425344,-141.41807591768062,28.476642941736614,100.0,Extreme,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Pavements + Water Features,4
41,-31.82347223626406,-18.931547943556325,21.26539000127066,32.027906372158554,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
42,3.382311913805893,11.742215923808343,22.79003154522629,46.398928804766875,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
43,36.54341260113202,-92.71061869149732,22.357571589441726,42.32263182176557,Moderate,Existing Green Cover Sufficient,Recommended,Urban Parks + Shade Structures,2
44,-24.54667157172709,-83.07243685822286,26.74052452270711,83.63563104754046,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
46,84.92077488977293,-44.177701282335846,24.21852470821353,59.86367228594977,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
47,83.24051308958002,-172.77436880001852,23.202704140745272,50.28871335841312,High,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
48,-44.67918675143445,-64.05150039005582,26.16987238627153,78.2567571171773,Extreme,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
49,-0.495268939370618,-103.87871748124392,22.24867157714139,41.29615807396313,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
50,-35.84190423298146,-62.10095321595072,23.190294489934452,50.1717420146306,High,Moderate Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
51,-38.72871101205583,-136.88563254506957,20.112891218497918,21.164640887597653,Low,Moderate Tree Plantation,Not Required,Routine Monitoring,1
52,-83.3603494761841,140.58982106636216,24.658075503492913,64.00680636508692,High,Existing Green Cover Sufficient,Not Required,Cooling Centers + Reflective Roads,3
53,19.721580116381432,33.69328327945752,20.44300672576608,24.276255797417186,Low,High Priority Tree Plantation,Recommended,Routine Monitoring,1
54,0.4822241811950647,64.47683489201626,26.054938811657557,77.17341199544336,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
55,-80.73382477500192,104.10164589864178,24.128636161443616,59.01639751032383,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
57,-39.84363643740994,-0.5608083855393886,23.24049947132092,50.644965977728,High,Existing Green Cover Sufficient,Not Required,Cooling Centers + Reflective Roads,3
58,73.48785947399767,-148.70869628852748,22.175748348524756,40.60879561918643,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
59,-46.878859679944966,13.35835505467719,21.373528856389427,33.04720557655805,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
60,-63.91892302357984,31.262802487516492,21.716997897473274,36.28468871735987,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
61,-1.898503150038664,88.35821070635882,21.50510540891447,34.28742469261126,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
62,87.41708173990813,-24.602563357315432,25.208493813387424,69.19495954782778,High,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
63,-46.43005112792993,-134.07109099359704,22.495078627230868,43.61875072429941,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
64,30.98439853305814,-77.8406739124592,23.247112645357024,50.70730067718596,High,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
65,47.09153075916916,-49.29037329649137,20.58574346833942,25.62166904396756,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
66,-47.22524208136806,52.53020687937644,21.599414089099287,35.17636292461652,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
68,41.07894275013473,25.48018968080828,23.150537109607097,49.79699543448442,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
69,-23.799036110534416,-51.80517867677534,23.287097015129085,51.0841868228023,High,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
70,23.815049506844304,175.1454895654727,22.01229917202748,39.06815034991251,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
71,24.035347936961045,38.07893496847939,25.841620931511617,75.16271246216148,Extreme,Existing Green Cover Sufficient,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
72,6.439443133456521,-94.598354975042,22.31551149776836,41.92618026018257,Moderate,Existing Green Cover Sufficient,Recommended,Urban Parks + Shade Structures,2
73,-73.7478413902065,-143.35830985665467,24.342138190782773,61.028832803855174,High,Existing Green Cover Sufficient,Recommended,Cooling Centers + Reflective Roads,3
74,60.35444920606284,-124.97070989364047,25.161974279479946,68.75647401134924,High,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
75,-32.25958830508755,-91.45521778157708,20.602261783196404,25.77736798467904,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
76,-56.42666812802624,-122.15470562655996,26.636622752926858,82.65626991821841,Extreme,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Pavements + Water Features,4
77,-82.6604745201425,-112.83587134152992,21.064333516008414,30.132780746479554,Moderate,Existing Green Cover Sufficient,Optional,Urban Parks + Shade Structures,2
79,16.36072977388352,-77.36573927021504,24.38353349453468,61.41901818295739,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
80,31.961585131610832,-117.58550569388828,21.276879248025224,32.13620213748005,Moderate,Moderate Tree Plantation,Optional,Urban Parks + Shade Structures,2
81,-87.01419079298589,142.83555286551308,23.843809254368146,56.33166555662656,High,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
82,2.1767504938705717,-151.1158515618088,21.292044960379833,32.27915166769495,Moderate,Moderate Tree Plantation,Recommended,Urban Parks + Shade Structures,2
83,-49.230760464371166,8.824100245291675,22.00467171785552,38.99625521138405,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
84,26.13110227370097,-32.25714228372186,23.80300390963185,55.94704103494773,High,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
85,-58.61404277910154,173.6563020870983,22.400023424439127,42.72277589200401,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
86,34.36879285844387,-139.66599521950116,19.561901790015213,15.971104434228245,Low,High Priority Tree Plantation,Optional,Routine Monitoring,1
87,-20.38763766590327,-36.771984343533006,22.38665966798722,42.596811304120635,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
88,78.61139797261222,169.0093559791328,20.422938486397562,24.08709584746616,Low,High Priority Tree Plantation,Recommended,Routine Monitoring,1
90,-65.2462300537212,131.58256532183287,24.203693805923546,59.723878620776375,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
91,-28.60805681095347,114.1459455417408,21.385090073166598,33.15617971956999,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
92,-69.57476617669397,-87.15498226382167,26.27611512437021,79.25818383191617,Extreme,Existing Green Cover Sufficient,Optional,Cooling Centers + Reflective Pavements + Water Features,4
93,76.44485129014129,-118.48046853957632,26.57232603078311,82.05021950595321,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
94,67.9210836085766,60.71155917279515,24.449731681274418,62.042991490261166,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
95,-43.57050701127199,154.57535608593088,20.554156754030007,25.323937828579552,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
96,28.79712828615223,20.43464148501471,24.6806427306125,64.21952136584436,High,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
97,57.09999603621884,25.78056820916396,27.346688011609217,89.34922919221611,Extreme,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Pavements + Water Features,4
98,9.936146087903223,-79.20752628229769,21.649388222310126,35.64741095047565,Moderate,High Priority Tree Plantation,Not Required,Urban Parks + Shade Structures,2
99,5.337104104081163,97.01745594909728,22.572839725106856,44.35171414536739,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
101,-46.4665876379187,-112.66425051929158,24.003099837081876,57.83311259941348,High,High Priority Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
